canonical_name,source_path,kind,core_authority,host_entrypoint,runtime_reachable,save_owner,test_surface,classification,risk,evidence_source,status_confidence
LandmarkDegradationSystem,Assets/Ashfall.Core/LandmarkDegradationSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (1 suites: WorldSaveablesTests.cs),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
LeadershipSystem,Assets/Ashfall.Core/Survivors/LeadershipSystem.cs,gameplay system,yes,core-internal,proven (Core),system (CaptureState),Core tests (1 suites: LeadershipSystemTests.cs),CORE_INTERNAL,LOW — reconciled as CORE_INTERNAL / DIRECT_HOSTED,30_SUBSYSTEMS_FORENSIC_REPORT_2.md,verified
LedgerDebtSystem,Assets/Ashfall.Core/LedgerDebtSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (6 suites),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
LibraryStudyHostSave,src/Host/LibraryStudyHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Core tests (1 suites: NewSaveStoreChecksumSweepTests.cs),LIVE_GODOT,LOW,codebase scan,verified
LibraryStudyHostSession,src/Host/LibraryStudyHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
LibraryStudyPanel,src/UI/LibraryStudyPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
LibraryStudySaveStore,src/Host/LibraryStudyHostSession.cs,host session,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
LibraryStudySystem,Assets/Ashfall.Core/LibraryStudySystem.cs,gameplay system,yes,direct,proven,LibraryStudySaveStore,Core tests (2 suites),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
LocationEvolutionSystem,Assets/Ashfall.Core/LocationEvolutionSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (1 suites: WorldSaveablesTests.cs),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
LocationLayoutParentSave,Assets/Ashfall.Core/StandingRecord/LocationLayoutSystem.cs,save DTO/codec,yes,core-internal,proven (Core),system (CaptureState),none,CORE_INTERNAL,LOW,codebase scan,verified
LocationLayoutSystem,Assets/Ashfall.Core/StandingRecord/LocationLayoutSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (4 suites),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
LocationMemorySystem,Assets/Ashfall.Core/StandingRecord/LocationMemorySystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (5 suites),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
LocationVisitSave,Assets/Ashfall.Core/Maritime/ProceduralScavengeSystem.cs,save DTO/codec,yes,core-internal,proven (Core),system (CaptureState),none,CORE_INTERNAL,LOW,codebase scan,verified
LongWalkSystem,Assets/Ashfall.Core/Muster/LongWalkSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (1 suites: MusterCurrentSystemsTests.cs),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
LostTechManualCatalog,Assets/Ashfall.Core/Narrative/LostTechManualCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: LostTechManualCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
MachineLogSystem,Assets/Ashfall.Core/Verdict/MachineLogSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (3 suites),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
MainMenuPanel,src/UI/MainMenuPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
MapAtlasPanel,src/UI/MapAtlasPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
MapDetailPanel,src/UI/MapDetailPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
MapPanel,src/UI/MapPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
MaritimeAtlasPanel,src/UI/MaritimeAtlasPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
MaritimeDiveSystem,Assets/Ashfall.Core/MaritimeDiveSystem.cs,gameplay system,yes,core-internal,proven (Core),system (CaptureState),Core tests (2 suites),CORE_INTERNAL,LOW — reconciled as CORE_INTERNAL / DIRECT_HOSTED,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
MaritimeHostSave,src/Host/MaritimeHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
MaritimeHostSession,src/Host/MaritimeHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
MaritimePanel,src/UI/MaritimePanel.cs,ui panel,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
MaritimeSaveStore,src/Host/MaritimeSaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
MaritimeSystem,Assets/Ashfall.Core/MaritimeSystem.cs,gameplay system,yes,direct,proven,MaritimeSaveStore,none,LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT_2.md,verified
MarketSystem,Assets/Ashfall.Core/Economy/MarketSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (8 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT.md,verified
MasonryBrickworksCatalog,Assets/Ashfall.Core/Narrative/MasonryBrickworksCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: MasonryBrickworksCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
MaterialShieldingSave,Assets/Ashfall.Core/Shelter/MaterialShieldingSystem.cs,save DTO/codec,yes,core-internal,proven (Core),system (CaptureState),Core tests (1 suites: MaterialShieldingSystemTests.cs),CORE_INTERNAL,LOW,codebase scan,verified
MaterialShieldingSystem,Assets/Ashfall.Core/Shelter/MaterialShieldingSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (1 suites: MaterialShieldingSystemTests.cs),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
MedicalBedSave,Assets/Ashfall.Core/Medical/MedicalWardSave.cs,save DTO/codec,yes,indirect,proven,none,Core tests (1 suites: MedicalWardSystemTests.cs),LIVE_CORE + LIVE_GODOT,LOW,codebase scan,verified
MedicalDetailPanel,src/UI/MedicalDetailPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
MedicalHistoryPanel,src/UI/MedicalHistoryPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
MedicalHostSave,src/Host/MedicalSaveStore.cs,save store,no (host),direct (host),proven,none,Core tests (1 suites: SaveStoreChecksumSweepTests.cs),LIVE_GODOT,LOW,codebase scan,verified
MedicalHostSession,src/Host/MedicalHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
MedicalPanel,src/UI/MedicalPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
MedicalPathologyCatalog,Assets/Ashfall.Core/Narrative/MedicalPathologyCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: MedicalPathologyCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
MedicalSaveStore,src/Host/MedicalSaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
MedicalSystem,Assets/Ashfall.Core/MedicalSystem.cs,gameplay system,yes,direct,proven,MedicalSaveStore,Core tests (5 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT.md,verified
MedicalWardHostSession,src/Host/MedicalWardHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
MedicalWardPanel,src/UI/MedicalWardPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
MedicalWardSave,Assets/Ashfall.Core/Medical/MedicalWardSave.cs,save DTO/codec,yes,indirect,proven,none,Core tests (1 suites: MedicalWardSystemTests.cs),LIVE_CORE + LIVE_GODOT,LOW,codebase scan,verified
MedicalWardSaveStore,src/Host/MedicalWardSaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
MedicalWardSystem,Assets/Ashfall.Core/Medical/MedicalWardSystem.cs,gameplay system,yes,direct,proven,MedicalWardSaveStore,Core tests (6 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT_2.md,verified
MemorialSave,Assets/Ashfall.Core/Memorial/MemorialSave.cs,save DTO/codec,yes,indirect,proven,none,none,LIVE_CORE + LIVE_GODOT,LOW,codebase scan,verified
MemorialSaveStore,src/Host/MemorialSaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
MemorialSystem,Assets/Ashfall.Core/Memorial/MemorialSystem.cs,gameplay system,yes,indirect,proven,MemorialSaveStore,Core tests (2 suites),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
MentalHealthCrisisHostSave,src/Host/MentalHealthCrisisHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Core tests (1 suites: NewSaveStoreChecksumSweepTests.cs),LIVE_GODOT,LOW,codebase scan,verified
MentalHealthCrisisHostSession,src/Host/MentalHealthCrisisHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
MentalHealthCrisisPanel,src/UI/MentalHealthCrisisPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
MentalHealthCrisisSaveStore,src/Host/MentalHealthCrisisHostSession.cs,host session,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
MentalHealthCrisisSystem,Assets/Ashfall.Core/MentalHealthCrisisSystem.cs,gameplay system,yes,direct,proven,MentalHealthCrisisSaveStore,Core tests (2 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT_2.md,verified
MetallurgyToolingCatalog,Assets/Ashfall.Core/Narrative/MetallurgyToolingCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: MetallurgyToolingCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
MilitaryArmoryCatalog,Assets/Ashfall.Core/Narrative/MilitaryArmoryCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: MilitaryArmoryCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
MilitaryBranchCatalog,Assets/Ashfall.Core/Factions/MilitaryBranchCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (5 suites),CORE_INTERNAL,LOW,codebase scan,verified
MilitaryBranchSave,Assets/Ashfall.Core/Factions/MilitaryBranchSave.cs,save DTO/codec,yes,core-internal,proven (Core),system (CaptureState),Core tests (1 suites: MilitaryBranchSystemTests.cs),CORE_INTERNAL,LOW,codebase scan,verified
MilitaryBranchSystem,Assets/Ashfall.Core/Factions/MilitaryBranchSystem.cs,gameplay system,yes,core-internal,proven (Core),codec,Core tests (2 suites),CORE_INTERNAL,LOW,codebase scan,verified
MoralBranchingSystem,Assets/Ashfall.Core/Survivors/MoralBranchingSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (1 suites: MoralBranchingSystemTests.cs),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT_2.md,verified
MoralChoiceHostSave,src/Host/MoralChoiceSaveStore.cs,save store,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
MoralChoiceSaveStore,src/Host/MoralChoiceSaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
MoralChoiceSystem,Assets/Ashfall.Core/MoralChoice/MoralChoiceSystem.cs,gameplay system,yes,indirect,proven,MoralChoiceSaveStore,Core tests (8 suites),LIVE_CORE + LIVE_GODOT,LOW,codebase scan,verified
MoraleMarkSystem,Assets/Ashfall.Core/DutyRoster/MoraleMarkSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (4 suites),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_5.md,verified
MusterAtlasPanel,src/UI/MusterAtlasPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
MusterHostSave,src/Host/MusterSaveStore.cs,save store,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
MusterHostSession,src/Host/MusterHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_5.md,verified
MusterPanel,src/UI/MusterPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
MusterSaveStore,src/Host/MusterSaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
MusterSystem,Assets/Ashfall.Core/Muster/MusterSystem.cs,gameplay system,yes,direct,proven,MusterSaveStore,Core tests (2 suites),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_5.md,verified
NarrativeBatchCatalog,Assets/Ashfall.Core/Narrative/NarrativeBatchCatalog.cs,catalog,yes,indirect,proven,none,Core tests (1 suites: SilentFoundrySystemTests.cs),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT.md,verified
NarrativeEncounterSystem,Assets/Ashfall.Core/Narrative/NarrativeEncounterSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (3 suites),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_5.md,verified
NarrativeHostSave,src/Host/NarrativeSaveStore.cs,save store,no (host),direct (host),proven,none,Core tests (2 suites),LIVE_GODOT,LOW,codebase scan,verified
NarrativeHostSession,src/Host/NarrativeHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_5.md,verified
NarrativeSaveStore,src/Host/NarrativeSaveStore.cs,save store,no (host),direct (host),proven,store (self),Core tests (2 suites),LIVE_GODOT,LOW,codebase scan,verified
NeedsSystem,Assets/Ashfall.Core/Survivors/NeedsSystem.cs,gameplay system,yes,indirect,proven,none,Core tests (14 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT.md,verified
NightWatchCatalog,Assets/Ashfall.Core/Narrative/NightWatchCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: NightWatchCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_5.md,verified
OpticsGlassworksCatalog,Assets/Ashfall.Core/Narrative/OpticsGlassworksCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: OpticsGlassworksCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_5.md,verified
OralLoreCatalog,Assets/Ashfall.Core/Narrative/OralLoreCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: OralLoreCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_5.md,verified
OrbitalHarrowTelemetrySystem,Assets/Ashfall.Core/OrbitalHarrowTelemetrySystem.cs,gameplay system,yes,core-internal,proven (Core),system (CaptureState),Core tests (2 suites),CORE_INTERNAL,LOW — reconciled as CORE_INTERNAL / DIRECT_HOSTED,50_SUBSYSTEMS_FORENSIC_REPORT_5.md,verified
PaperMakingCatalog,Assets/Ashfall.Core/Narrative/PaperMakingCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: PaperMakingCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_5.md,verified
PaperPrintingCatalog,Assets/Ashfall.Core/Narrative/PaperPrintingCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: PaperPrintingCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_5.md,verified
PhantomMemoryEngine,Assets/Ashfall.Core/PhantomMemoryEngine.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (1 suites: PhantomMemoryEngineTests.cs),LIVE_CORE + LIVE_GODOT,LOW,codebase scan,verified
PhantomMemoryHostSave,src/Host/PhantomMemorySaveStore.cs,save store,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
PhantomMemoryHostSession,src/Host/PhantomMemoryHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_5.md,verified
PhantomMemoryPanel,src/UI/PhantomMemoryPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
PhantomMemorySaveStore,src/Host/PhantomMemorySaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
PhantomMemorySystem,Assets/Ashfall.Core/PhantomMemoryEngine.cs,gameplay system,yes,direct,proven,PhantomMemorySaveStore,Core tests (1 suites: PhantomMemoryEngineTests.cs),LIVE_CORE + LIVE_GODOT,LOW — reconciled as CORE_INTERNAL / DIRECT_HOSTED,30_SUBSYSTEMS_FORENSIC_REPORT_2.md,verified
PharmaLabSystem,Assets/Ashfall.Core/PharmaLabSystem.cs,gameplay system,yes,core-internal,proven (Core),system (CaptureState),Core tests (2 suites),CORE_INTERNAL,LOW — reconciled as CORE_INTERNAL / DIRECT_HOSTED,50_SUBSYSTEMS_FORENSIC_REPORT_5.md,verified
PharmaRecipeCatalog,Assets/Ashfall.Core/PharmaLabSystem.cs,catalog,yes,core-internal,proven (Core),system (CaptureState),Core tests (1 suites: IslandBridgesTests.cs),CORE_INTERNAL,LOW,codebase scan,verified
Phase0HostSave,src/Host/Phase0SaveStore.cs,save store,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
Phase0HostSession,src/Host/Phase0HostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Core tests (1 suites: GapTestCoverageTests.cs),LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_5.md,verified
Phase0Panel,src/UI/Phase0Panel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
Phase0SaveStore,src/Host/Phase0SaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
PhaseProgressionSurvivorSave,Assets/Ashfall.Core/Radiation/RadiationPhaseProgression.cs,save DTO/codec,yes,core-internal,proven (Core),system (CaptureState),none,CORE_INTERNAL,LOW,codebase scan,verified
PneumaticTubeDispatchCatalog,Assets/Ashfall.Core/Narrative/PneumaticTubeDispatchCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: PneumaticTubeDispatchCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_5.md,verified
PolymerTextileCatalog,Assets/Ashfall.Core/Narrative/PolymerTextileCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: PolymerTextileCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_5.md,verified
PowerGridHostSession,src/Host/PowerGridHostSession.cs,host session,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_5.md,verified
PowerGridPanel,src/UI/PowerGridPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
PowerGridRoomSave,Assets/Ashfall.Core/Shelter/PowerGridSave.cs,save DTO/codec,yes,indirect,proven,none,Core tests (1 suites: PowerGridSystemTests.cs),LIVE_CORE + LIVE_GODOT,LOW,codebase scan,verified
PowerGridSave,Assets/Ashfall.Core/Shelter/PowerGridSave.cs,save DTO/codec,yes,indirect,proven,none,Core tests (2 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT.md,verified
PowerGridSaveStore,src/Host/PowerGridSaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
PowerGridSystem,Assets/Ashfall.Core/Shelter/PowerGridSystem.cs,gameplay system,yes,direct,proven,PowerGridSaveStore,Core tests (9 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT_2.md,verified
ProceduralEulogyEngine,Assets/Ashfall.Core/Journal/ProceduralEulogyEngine.cs,gameplay system,yes,core-internal,proven (Core),system (CaptureState),none,CORE_INTERNAL,LOW,codebase scan,verified
ProceduralScavengeSave,Assets/Ashfall.Core/Maritime/ProceduralScavengeSystem.cs,save DTO/codec,yes,indirect,proven,system (CaptureState),none,LIVE_CORE + LIVE_GODOT,LOW,codebase scan,verified
ProceduralScavengeSystem,Assets/Ashfall.Core/Maritime/ProceduralScavengeSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (2 suites),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_5.md,verified
ProvisionedSystem,Assets/Ashfall.Core/Muster/ProvisionedSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (1 suites: MusterCurrentSystemsTests.cs),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_5.md,verified
PrpfSave,Assets/Ashfall.Core/Factions/PrpfSave.cs,save DTO/codec,yes,core-internal,proven (Core),system (CaptureState),Core tests (1 suites: PrpfStandingSystemTests.cs),CORE_INTERNAL,LOW,codebase scan,verified
PrpfStandingSystem,Assets/Ashfall.Core/Factions/PrpfStandingSystem.cs,gameplay system,yes,core-internal,proven (Core),system (CaptureState),Core tests (3 suites),CORE_INTERNAL,LOW,codebase scan,verified
PsychContaminationSave,Assets/Ashfall.Core/Maritime/PsychologicalContaminationSystem.cs,save DTO/codec,yes,indirect,proven,system (CaptureState),none,LIVE_CORE + LIVE_GODOT,LOW,codebase scan,verified
PsychologicalContaminationSystem,Assets/Ashfall.Core/Maritime/PsychologicalContaminationSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (1 suites: BlackFlotillaTests.cs),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_5.md,verified
QuestDetailPanel,src/UI/QuestDetailPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
QuestlineMasterCatalog,Assets/Ashfall.Core/QuestlineMasterCatalog.cs,catalog,yes,indirect,proven,none,Core tests (3 suites),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_5.md,verified
QuestlineSystem,Assets/Ashfall.Core/YearOfAsh/QuestlineSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (9 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT.md,verified
QuestsAtlasPanel,src/UI/QuestsAtlasPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
QuestsPanel,src/UI/QuestsPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
RadiationDetailPanel,src/UI/RadiationDetailPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
RadiationHistoryPanel,src/UI/RadiationHistoryPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
RadiationSystem,Assets/Ashfall.Core/Radiation/RadiationSystem.cs,gameplay system,yes,indirect,proven,none,Core tests (12 suites),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_5.md,verified
RadioDetailPanel,src/UI/RadioDetailPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
RadioHostSession,src/Host/RadioHostSession.cs,host session,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_5.md,verified
RadioPanel,src/UI/RadioPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
RadioSaveStore,src/Host/RadioSaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
RadioScriptbookCatalog,Assets/Ashfall.Core/Narrative/RadioScriptbookCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: RadioScriptbookCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_5.md,verified
RadioSystem,Assets/Ashfall.Core/RadioSystem.cs,gameplay system,yes,direct,proven,RadioSaveStore,Core tests (1 suites: VerdictRadioSystemTests.cs),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT.md,verified
RationConflictSystem,Assets/Ashfall.Core/Survivors/RationConflictSystem.cs,gameplay system,yes,core-internal,proven (Core),system (CaptureState),Core tests (1 suites: RationConflictSystemTests.cs),CORE_INTERNAL,LOW — reconciled as CORE_INTERNAL / DIRECT_HOSTED,30_SUBSYSTEMS_FORENSIC_REPORT_2.md,verified
RebelBranchCatalog,Assets/Ashfall.Core/Factions/RebelBranchCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (4 suites),CORE_INTERNAL,LOW,codebase scan,verified
RebelBranchSave,Assets/Ashfall.Core/Factions/RebelBranchSave.cs,save DTO/codec,yes,core-internal,proven (Core),system (CaptureState),Core tests (1 suites: RebelBranchSystemTests.cs),CORE_INTERNAL,LOW,codebase scan,verified
